Year,Month,Day,Capital,Max Risk,No of lots,Trade Risk,Entry,Entry Time,Point Risk,Exit,Exit Time,PnL,New Capital
2017,01,03,1000000,10000.0,2.0,7500.0,8203.25,2017-01-03 11:05:00+05:30,100.0,8189.15,2017-01-03 15:20:00+05:30,-870.0000000000273,999130.0
2017,01,04,999130.0,9991.300000000001,2.0,7500.0,8211.2,2017-01-04 09:16:00+05:30,100.0,8190.45,2017-01-04 15:20:00+05:30,-1293.75,997836.25
2017,01,05,997836.25,9978.362500000001,2.0,7500.0,8226.65,2017-01-05 09:15:00+05:30,100.0,8268.75,2017-01-05 15:20:00+05:30,3262.5,1001098.75
2017,01,06,1001098.75,10010.987500000001,2.0,7500.0,8292.3,2017-01-06 09:15:00+05:30,100.0,8246.35,2017-01-06 15:20:00+05:30,-3292.4999999999727,997806.25
2017,01,10,997806.25,9978.0625,2.0,7500.0,8262.7,2017-01-10 09:15:00+05:30,100.0,8291.1,2017-01-10 15:20:00+05:30,2197.4999999999454,1000003.75
2017,01,11,1000003.75,10000.0375,2.0,7500.0,8329.85,2017-01-11 09:15:00+05:30,100.0,8377.55,2017-01-11 15:20:00+05:30,3727.499999999918,1003731.2499999999
2017,01,12,1003731.2499999999,10037.312499999998,2.0,7500.0,8395.8,2017-01-12 09:18:00+05:30,100.0,8407.45,2017-01-12 15:20:00+05:30,993.75,1004724.9999999999
2017,01,13,1004724.9999999999,10047.249999999998,2.0,7500.0,8457.65,2017-01-13 09:15:00+05:30,100.0,8397.15,2017-01-13 15:20:00+05:30,-4376.250000000027,1000348.7499999999
2017,01,16,1000348.7499999999,10003.4875,2.0,7500.0,8419.35,2017-01-16 13:25:00+05:30,100.0,8411.9,2017-01-16 15:20:00+05:30,-521.2500000000546,999827.4999999999
2017,01,17,999827.4999999999,9998.275,2.0,7500.0,8439.95,2017-01-17 09:23:00+05:30,100.0,8396.05,2017-01-17 15:20:00+05:30,-3078.750000000082,996748.7499999998
2017,01,18,996748.7499999998,9967.487499999997,2.0,7500.0,8421.45,2017-01-18 09:15:00+05:30,100.0,8416.85,2017-01-18 15:20:00+05:30,-326.2500000000273,996422.4999999998
2017,01,19,996422.4999999998,9964.224999999999,2.0,7500.0,8435.85,2017-01-19 11:21:00+05:30,100.0,8433.1,2017-01-19 15:20:00+05:30,-56.25,996366.2499999998
